"title","pCategoryName","pCategoryID","sCategoryName","sCategoryID","itemId","price"
"iPhone X XS XR 13 Max 11 12 Pro Privacy Anti-Spy Tempered Glass Screen Protector","Screen Protectors","58540","","","284044340177","5.99"
"3-Pack For iPhone 11 Pro 8 7 6s Plus X Xs Max XR Tempered GLASS Screen Protector","Screen Protectors","58540","","","124322157498","2.94"
"Apple iPhone 11 Pro - 64GB 256GB 512GB - Unlocked Verizon - Excellent Condition","Cell Phones & Smartphones","9355","","","294908624753","587.99"
"Apple iPhone 11 Pro - 64GB - All Colors (Unlocked) A2160 - Excellent Condition","Cell Phones & Smartphones","9355","","","174911453269","574.99"
"Apple iPhone 11 Pro - 64GB - Midnight Green (Verizon) Cracked Screen And Back!","Cell Phones & Smartphones","9355","","","255530558248","225.0"
"3-PACK For iPhone 13 12 11 Pro Max XR X XS Max 8 Tempered GLASS Screen Protector","Screen Protectors","58540","","","113899970621","2.95"
"Apple iPhone 11 Pro Max - 256GB - Factory Unlocked - Good Condition","Cell Phones & Smartphones","9355","","","144199739504","589.99"
"Apple iPhone 12 Pro Max 128/256/512 AT&T Sprint T-Mobile Unlocked VZW Very Good","Cell Phones & Smartphones","9355","","","274923478241","734.99"
"Apple iPhone 12 Pro A2341 - 512GB - All Colors (Unlocked) - Very Good Condition","Cell Phones & Smartphones","9355","","","174911352700","869.99"
"Liquid Silicone Case Camera Lens Cover For iPhone 13 12 11 Pro XS Max XR 8 Plus","Cases, Covers & Skins","20349","","","134028741616","5.95"
"For iPhone 13 12 11 Pro Max Tempered Glass Camera Lens Cover Screen Protector","Screen Protectors","58540","","","334188776619","2.49"
"Apple iPhone 11 Pro Max (GSM+CDMA) Factory Unlocked AT&T T-Mobile Verizon","Cell Phones & Smartphones","9355","","","363742523179","569.88"
"Apple iPhone 12 Pro Max - 256GB - Graphite (Unlocked)","Cell Phones & Smartphones","9355","","","203946640960","850.0"
"For Apple iPhone 13 12 Mini 11 Pro Max Shockproof Rugged Case + Screen Protector","Cases, Covers & Skins","20349","","","154160046887","6.99"
"For iPhone 13 12 11 Pro Max X XR 6 7 8 Plus SE 2020 Shockproof Clear Cover Case","Cases, Covers & Skins","20349","","","154285052950","8.75"
"Apple iPhone 11 Pro Max A2161 ATT T-Mobile Verizon Factory Unlocked - EXCELLENT","Cell Phones & Smartphones","9355","","","255454811571","639.0"
"For iPhone 13 12 11 Pro X XR Max 6 7 8 Plus Shockproof Case + Screen Protector","Cases, Covers & Skins","20349","","","124402217425","6.99"
"Apple iPhone 11 Pro - 256GB - Midnight Green (Unlocked) A2160 (CDMA + GSM)","Cell Phones & Smartphones","9355","","","394068162433","440.0"
"3-PACK For iPhone 13 12 11 Pro Max XR X XS Max 8 Tempered GLASS Screen Protector","Screen Protectors","58540","","","203924048409","0.99"
"For iPhone 13 12 11 Pro Max Mini X Xs XR 7 8 6 Plus SE Clear Shockproof Case","Cases, Covers & Skins","20349","","","154611511654","7.74"
"Apple iPhone 12 Pro Max - 512GB - All Colors (Unlocked) - Good Condition","Cell Phones & Smartphones","9355","","","174911408356","989.99"
